Title,Location,Price,Area
House Willemsparkweg,            1071 HC Amsterdam (Museumkwartier)        ,"                €3,750 per month            ",139 m²
Apartment Eerste Schinkelstraat,            1075 TV Amsterdam (Schinkelbuurt)        ,"                €2,850 per month            ",86 m²
House Sint Olofspoort 5,            1012 AJ Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,500 per month            ",80 m²
Apartment Ferdinand Bolstraat,            1072 LA Amsterdam (Oude Pijp)        ,"                €2,900 per month            ",120 m²
Apartment Tweede Jan Steenstraat,            1073 VP Amsterdam (Oude Pijp)        ,"                €1,750 per month            ",58 m²
Apartment Lutmastraat,            1073 GR Amsterdam (Zuid Pijp)        ,"                €1,650 per month            ",55 m²
Apartment Marjoleinstraat 121,            1034 DT Amsterdam (Banne Buiksloot)        ,"                €1,550 per month            ",68 m²
Apartment Rijnsburgstraat 80 HS,            1059 AX Amsterdam (Hoofddorppleinbuurt)        ,"                €1,800 per month            ",85 m²
Apartment Van Woustraat 41 3,            1074 AB Amsterdam (Oude Pijp)        ,"                €1,625 per month            ",65 m²
Apartment Hunzestraat 67 3,            1079 VV Amsterdam (Scheldebuurt)        ,"                €1,675 per month            ",55 m²
Apartment Herengracht,            1016 BE Amsterdam (Grachtengordel-West)        ,"                €8,500 per month            ",310 m²
Apartment Frans Halsstraat,            1072 BV Amsterdam (Oude Pijp)        ,"                €2,500 per month            ",75 m²
Apartment Marco Polostraat,            1057 WV Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",80 m²
Apartment Molukkenstraat,            1095 AV Amsterdam (Indische Buurt Oost)        ,"                €1,450 per month            ",45 m²
Apartment Frans Halsstraat,            1072 BT Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",61 m²
Apartment Tweede Jan Steenstraat 32 II,            1073 VP Amsterdam (Oude Pijp)        ,"                €1,750 per month            ",65 m²
Apartment Amstelkade 67 1,            1078 AK Amsterdam (IJselbuurt)        ,"                €1,900 per month            ",80 m²
Apartment Sophialaan 41 2,            1075 BM Amsterdam (Willemspark)        ,"                €6,800 per month            ",190 m²
Apartment Westzaanstraat 15 1,            1013 NC Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,450 per month            ",50 m²
Room Schaepmanstraat,            1051 JJ Amsterdam (Staatsliedenbuurt)        ,                €775 per month            ,8 m²
Apartment Wamelplein,            1106 DS Amsterdam (Gein)        ,"                €1,400 per month            ",61 m²
Apartment Deurloostraat 61 3L,            1078 HT Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",87 m²
Apartment Louis Davidsstraat 20,            1068 SH Amsterdam (Osdorp-Oost)        ,"                €1,295 per month            ",61 m²
Apartment Theophile de Bockstraat,            1058 TX Amsterdam (Hoofddorppleinbuurt)        ,"                €1,650 per month            ",55 m²
Apartment Kempenlaan,            1066 PW Amsterdam (Sloter-/Riekerpolder)        ,"                €1,650 per month            ",94 m²
Apartment Nachtwachtlaan,            1058 ET Amsterdam (Overtoomse Veld)        ,"                €1,590 per month            ",55 m²
Apartment Pieter Calandlaan,            1060 TW Amsterdam (Middelveldsche Akerpolder)        ,"                €1,950 per month            ",94 m²
Apartment Vossiusstraat,            1071 AC Amsterdam (Museumkwartier)        ,"                €1,850 per month            ",75 m²
Apartment Franz Zieglerstraat,            1087 HN Amsterdam (IJburg Zuid)        ,"                €1,650 per month            ",79 m²
Apartment Ruyschstraat 38 2,            1091 CD Amsterdam (Weesperzijde)        ,"                €1,625 per month            ",50 m²
Apartment Hudsonstraat,            1057 SR Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",60 m²
